iter	Passed	Remaining
0	0	68
1	1	65
2	1	62
3	2	56
4	2	55
5	3	54
6	4	53
7	4	52
8	5	51
9	5	50
10	6	50
11	6	49
12	7	49
13	7	48
14	8	47
15	8	46
16	9	46
17	10	45
18	10	45
19	11	44
20	11	43
21	12	43
22	12	43
23	13	42
24	13	41
25	14	41
26	15	40
27	15	40
28	16	39
29	16	39
30	17	38
31	17	37
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	34
38	22	34
39	22	34
40	23	33
41	23	32
42	23	31
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	29	26
52	29	26
53	30	25
54	30	25
55	31	24
56	31	24
57	32	23
58	32	22
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	41	15
72	41	15
73	42	14
74	42	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	46	10
82	47	9
83	48	9
84	48	8
85	49	8
86	49	7
87	50	6
88	51	6
89	51	5
90	52	5
91	52	4
92	53	4
93	54	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
