iter	Passed	Remaining
0	144	143969
1	145	72460
2	146	48565
3	146	36583
4	147	29414
5	148	24627
6	149	21192
7	150	18637
8	151	16677
9	152	15111
10	153	13792
11	154	12696
12	154	11759
13	155	10957
14	156	10281
15	158	9722
16	159	9209
17	160	8738
18	161	8313
19	162	7972
20	178	8344
21	179	7991
22	180	7668
23	181	7371
24	181	7096
25	183	6858
26	184	6633
27	184	6419
28	185	6215
29	186	6024
30	187	5845
31	187	5678
32	188	5521
33	189	5380
34	190	5244
35	191	5118
36	191	4997
37	192	4880
38	193	4767
39	194	4660
40	195	4561
41	196	4470
42	196	4380
43	197	4293
44	198	4209
45	199	4128
46	199	4050
47	201	3994
48	202	3937
49	203	3872
50	204	3810
51	205	3749
52	206	3698
53	208	3644
54	209	3591
55	209	3536
56	210	3482
57	211	3430
58	212	3386
59	214	3357
60	215	3310
61	215	3264
62	216	3220
63	217	3177
64	218	3146
65	219	3112
66	221	3079
67	222	3043
68	222	3007
69	224	2986
70	226	2957
71	227	2930
72	228	2896
73	228	2863
74	229	2833
75	230	2804
76	232	2782
77	233	2758
78	234	2730
79	234	2702
80	235	2677
81	237	2655
82	237	2627
83	238	2605
84	239	2580
85	240	2560
86	242	2545
87	244	2529
88	245	2510
89	245	2487
90	246	2464
91	247	2447
92	248	2426
93	249	2407
94	250	2387
95	251	2367
96	252	2346
97	252	2328
98	253	2311
99	255	2295
100	256	2282
101	257	2270
102	258	2252
103	259	2238
104	260	2223
105	263	2218
106	264	2206
107	265	2190
108	266	2178
109	267	2166
110	269	2155
111	270	2141
112	270	2125
113	271	2111
114	273	2103
115	275	2100
116	276	2085
117	277	2072
118	278	2062
119	279	2053
120	281	2043
121	281	2029
122	283	2018
123	284	2007
124	285	1997
125	286	1987
126	287	1976
127	288	1964
128	289	1953
129	290	1944
130	291	1934
131	293	1927
132	293	1916
133	294	1904
134	295	1893
135	296	1885
136	297	1875
137	298	1867
138	299	1856
139	300	1845
140	301	1837
141	302	1829
142	304	1824
143	305	1817
144	306	1807
145	307	1797
146	308	1787
147	309	1779
148	310	1772
149	312	1768
150	312	1759
151	313	1750
152	314	1742
153	316	1737
154	317	1732
155	318	1723
156	319	1715
157	320	1708
158	322	1704
159	323	1699
160	324	1689
161	324	1680
162	325	1673
163	326	1666
164	327	1659
165	329	1653
166	330	1646
167	330	1638
168	332	1632
169	333	1627
170	334	1623
171	336	1618
172	336	1610
